ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total,Desconto,Valor_Com_Desconto,Forma_Pagamento,Data_Hora_Geracao
CO000020,329.765.170-93,P0044,2024-05-03,4,131.88,1.5,527.52,0,527.52,Boleto,2026-09-23 16:55:35
CO000021,394.831.180-54,P0063,2024-12-29,3,149.9,5.0,449.7,0.2,359.76,PIX,2026-09-23 16:55:35
CO000022,961.921.587-96,P0072,2025-12-07,3,119.9,4.6,359.7,0.2,287.76,Boleto,2026-09-23 16:55:35
CO000023,603.585.240-30,P0086,2025-04-13,1,98.89,3.8,98.89,0.05,93.95,PIX,2026-09-23 16:55:35
CO000024,554.270.810-48,P0079,2025-07-29,5,59.88,4.1,299.4,0,299.4,PIX,2026-09-23 16:55:35
CO000025,853.241.975-94,P0014,2024-07-29,2,139.9,3.5,279.8,0.2,223.84,Cartão de Débito,2026-09-23 16:55:35
CO000026,163.561.205-53,P0094,2025-06-02,3,164.89,3.8,494.67,0.2,395.74,Dinheiro,2026-09-23 16:55:35
CO000027,908.413.275-43,P0013,2024-05-21,2,219.9,3.6,439.8,0,439.8,PIX,2026-09-23 16:55:35
CO000028,526.732.754-13,P0057,2024-09-08,4,59.93,4.1,239.72,0,239.72,Dinheiro,2026-09-23 16:55:35
CO000029,923.628.147-61,P0037,2025-01-16,5,87.89,1.7,439.45,0,439.45,Vale-presente,2026-09-23 16:55:35
CO000030,993.423.946-97,P0054,2024-06-04,3,42.41,3.5,127.23,0,127.23,Boleto,2026-09-23 16:55:35
CO000031,484.997.755-42,P0030,2025-02-23,2,42.41,4.2,84.82,0.05,80.58,Dinheiro,2026-09-23 16:55:35
CO000032,174.615.401-53,P0088,2024-05-29,3,49.9,4.8,149.7,0.05,142.21,PIX,2026-09-23 16:55:35
CO000033,141.581.851-74,P0067,2025-02-15,1,120.89,1.3,120.89,0,120.89,Cartão de Crédito,2026-09-23 16:55:35
CO000034,726.129.983-97,P0008,2025-10-18,4,37.42,4.0,149.68,0.15,127.23,Cartão de Crédito,2026-09-23 16:55:35
CO000035,391.710.116-76,P0008,2025-02-15,5,37.42,4.9,187.1,0.05,177.74,Vale-presente,2026-09-23 16:55:35
CO000036,875.525.272-99,P0071,2024-12-18,3,42.41,3.9,127.23,0,127.23,PIX,2026-09-23 16:55:35
CO000037,903.432.984-59,P0068,2025-02-17,5,95.88,4.7,479.4,0.15,407.49,Dinheiro,2026-09-23 16:55:35
CO000038,536.501.283-86,P0027,2025-10-29,5,212.41,3.5,1062.05,0.1,955.85,Dinheiro,2026-09-23 16:55:35
CO000039,165.937.937-23,P0045,2024-03-27,4,53.91,4.1,215.64,0,215.64,PIX,2026-09-23 16:55:35
CO000040,777.357.861-99,P0043,2024-05-09,4,69.9,3.9,279.6,0.15,237.66,Boleto,2026-09-23 16:55:35
CO000041,234.639.958-31,P0037,2024-11-15,2,87.89,1.4,175.78,0.1,158.2,Boleto,2026-09-23 16:55:35
CO000042,377.945.179-83,P0097,2025-07-06,2,27.39,1.1,54.78,0.2,43.82,Boleto,2026-09-23 16:55:35
CO000043,468.625.609-69,P0031,2024-04-23,3,65.89,3.9,197.67,0.1,177.9,Vale-presente,2026-09-23 16:55:35
CO000044,379.546.597-13,P0048,2024-05-06,3,159.9,3.5,479.7,0,479.7,PIX,2026-09-23 16:55:35
CO000045,204.323.258-74,P0084,2024-01-06,1,26.91,2.8,26.91,0.1,24.22,Dinheiro,2026-09-23 16:55:35
CO000046,283.978.136-80,P0031,2025-11-12,5,65.89,3.3,329.45,0.15,280.03,Boleto,2026-09-23 16:55:35
CO000047,862.260.118-54,P0030,2025-08-09,3,42.41,2.2,127.23,,108.15,Vale-presente,2026-09-23 16:55:35
CO000048,679.773.510-18,P0092,2024-04-17,4,33.62,3.1,134.48,0,134.48,Cartão de Débito,2026-09-23 16:55:35
CO000049,174.615.401-53,P0075,2025-04-10,2,29.88,4.3,59.76,0,59.76,PIX,2026-09-23 16:55:35
CO000050,570.179.982-50,P0092,2024-04-04,4,33.62,4.3,134.48,0,134.48,PIX,2026-09-23 16:55:35
CO000051,,P0017,2025-01-13,4,94.37,1.9,377.48,0,377.48,Vale-presente,2026-09-23 16:55:35
CO000052,203.433.470-88,P0052,2025-02-08,5,54.89,3.2,274.45,0.2,219.56,Cartão de Débito,2026-09-23 16:55:35
CO000053,767.685.300-81,P0064,2025-05-16,4,119.9,5.0,479.6,0.15,407.66,Vale-presente,2026-09-23 16:55:35
CO000054,646.304.848-57,P0021,2025-12-29,2,79.9,3.0,159.8,0.05,151.81,Dinheiro,2026-09-23 16:55:35
CO000055,144.844.902-94,P0091,2025-12-12,,169.9,4.5,849.5,0,849.5,Cartão de Crédito,2026-09-23 16:55:35
CO000056,498.343.623-99,P0061,2025-01-13,1,67.43,4.0,67.43,0.1,60.69,PIX,2026-09-23 16:55:35
CO000057,209.234.289-13,P0053,2024-10-23,1,33.91,1.5,33.91,0.1,30.52,PIX,2026-09-23 16:55:35
CO000058,422.604.688-45,P0020,2024-11-06,1,37.42,2.5,37.42,0,37.42,Cartão de Débito,2026-09-23 16:55:35
CO000059,110.778.344-88,P0004,2025-03-07,2,169.9,0,339.8,0.1,305.82,PIX,2026-09-23 16:55:35
CO000060,109.596.239-34,P0037,2025-05-15,2,87.89,1.7,175.78,0.15,149.41,PIX,2026-09-23 16:55:35
CO000061,806.479.322-66,P0071,2025-03-03,3,42.41,1.3,127.23,0,127.23,Dinheiro,2026-09-23 16:55:35
CO000062,422.663.432-57,P0040,2025-01-21,5,80.91,2.8,404.55,0,404.55,Dinheiro,2026-09-23 16:55:35
CO000063,865.697.124-68,P0078,2025-10-13,2,89.9,4.0,179.8,0.1,161.82,Dinheiro,2026-09-23 16:55:35
CO000064,133.912.775-75,P0058,2024-11-29,4,155.88,1.6,623.52,0.15,529.99,PIX,2026-09-23 16:55:35
CO000065,968.424.365-77,P0086,2025-02-08,5,98.89,2.6,494.45,0,494.45,Cartão de Débito,2026-09-23 16:55:35
CO000066,234.639.958-31,P0006,2024-03-31,4,39.9,3.9,159.6,0.15,135.66,Cartão de Crédito,2026-09-23 16:55:35
CO000067,155.760.472-46,P0004,2025-12-25,5,169.9,3.5,849.5,0.2,679.6,Cartão de Débito,2026-09-23 16:55:35
CO000068,294.680.291-79,P0083,2024-07-16,1,143.91,3.6,143.91,0,143.91,Boleto,2026-09-23 16:55:35
CO000069,378.661.555-27,P0074,2024-07-12,1,80.87,4.8,80.87,0.1,72.78,Dinheiro,2026-09-23 16:55:35
CO000070,360.588.884-39,P0003,2024-07-03,1,26.17,3.6,26.17,0.1,23.55,PIX,2026-09-23 16:55:35
CO000071,902.561.602-39,P0027,2025-08-16,2,212.41,4.3,424.82,0.2,339.86,Dinheiro,2026-09-23 16:55:35
CO000072,277.665.176-30,P0069,2024-02-16,5,239.88,2.3,1199.4,0.1,1079.46,Dinheiro,2026-09-23 16:55:35
CO000073,845.447.919-23,P0044,2025-06-24,4,131.88,1.7,527.52,0,527.52,Cartão de Débito,2026-09-23 16:55:35
CO000074,496.289.479-58,P0033,2025-07-08,1,52.43,1.5,52.43,0,52.43,Cartão de Crédito,2026-09-23 16:55:35
CO000075,398.852.811-91,P0019,2024-06-06,2,41.88,2.0,83.76,0,83.76,Cartão de Débito,2026-09-23 16:55:35
CO000076,528.514.497-14,P0087,2024-07-04,2,164.89,1.2,329.78,0,329.78,desconhecido,2026-09-23 16:55:35
CO000077,161.387.239-24,P0008,2024-05-25,3,37.42,2.6,112.26,0,112.26,Dinheiro,2026-09-23 16:55:35
CO000078,756.793.246-18,P0034,2024-02-23,4,329.89,4.8,1319.56,0,1319.56,Cartão de Crédito,2026-09-23 16:55:35
CO000079,552.219.796-36,P0097,2025-06-04,5,27.39,3.3,136.95,0.05,130.1,Boleto,2026-09-23 16:55:35
CO000080,803.987.586-83,P0015,2025-07-20,3,89.9,1.2,269.7,0.05,256.21,Dinheiro,2026-09-23 16:55:35
CO000081,271.720.721-24,P0062,2024-01-20,1,219.9,2.6,219.9,0,219.9,Cartão de Débito,2026-09-23 16:55:35
CO000082,262.744.845-15,P0076,2025-10-29,1,110.42,2.0,110.42,0.1,99.38,Cartão de Crédito,2026-09-23 16:55:35
CO000083,668.270.601-46,P0073,2025-10-13,4,44.9,2.8,179.6,0.2,143.68,Boleto,2026-09-23 16:55:35
CO000084,525.595.575-36,P0019,2024-09-08,3,41.88,3.2,125.64,0,125.64,Boleto,2026-09-23 16:55:35
CO000085,310.811.802-90,P0072,2025-04-20,4,119.9,1.2,479.6,0.2,383.68,Boleto,2026-09-23 16:55:35
CO000086,647.618.990-98,P0084,2024-10-06,2,26.91,1.0,53.82,0.05,51.13,Boleto,2026-09-23 16:55:35
CO000087,407.381.162-81,P0088,2025-10-09,4,49.9,5.0,199.6,0.2,159.68,Cartão de Crédito,2026-09-23 16:55:35
CO000088,431.801.689-21,P0066,2025-06-30,3,142.89,1.2,428.67,0.15,364.37,Boleto,2026-09-23 16:55:35
CO000089,545.280.851-76,P0039,2024-05-23,1,219.9,2.6,219.9,0,219.9,Vale-presente,2026-09-23 16:55:35
CO000090,271.913.382-84,P0036,2024-11-21,4,149.93,1.8,599.72,0.1,539.75,Vale-presente,2026-09-23 16:55:35
CO000091,567.108.477-35,P0082,2025-04-08,3,89.93,4.9,269.79,0.15,229.32,Cartão de Débito,2026-09-23 16:55:35
CO000092,534.644.488-39,P0085,2025-09-05,3,359.88,2.4,1079.64,0.05,1025.66,Cartão de Débito,2026-09-23 16:55:35
CO000093,999.680.180-20,P0089,2025-09-15,2,121.37,3.6,242.74,0,242.74,Dinheiro,2026-09-23 16:55:35
CO000094,487.180.665-47,P0002,2025-12-21,2,82.43,2.7,164.86,0.15,140.13,Dinheiro,2026-09-23 16:55:35
CO000095,408.783.110-22,P0051,2025-10-28,5,49.9,1.3,249.5,0.15,212.07,PIX,2026-09-23 16:55:35
CO000096,999.584.661-16,P0004,2025-01-20,4,169.9,3.7,679.6,0,679.6,Boleto,2026-09-23 16:55:35
CO000097,135.728.734-88,P0050,2025-12-14,2,26.17,4.4,52.34,0.2,41.87,PIX,2026-09-23 16:55:35
CO000098,121.151.905-52,P0060,2024-01-10,3,33.62,4.7,100.86,0.05,95.82,Cartão de Crédito,2026-09-23 16:55:35
CO000099,719.623.157-95,P0003,2025-01-01,3,26.17,3.7,78.51,0.15,66.73,Cartão de Crédito,2026-09-23 16:55:35
CO000100,881.874.279-70,P0079,2024-08-27,3,59.88,4.2,179.64,0,179.64,Dinheiro,2026-09-23 16:55:35
CO000101,935.910.854-17,P0005,2025-12-24,3,79.9,3.0,239.7,0.15,203.74,Boleto,2026-09-23 16:55:35
CO000102,541.237.370-56,P0001,2025-02-09,2,274.89,4.9,549.78,0.15,467.31,PIX,2026-09-23 16:55:35
CO000103,555.468.879-44,P0073,2024-07-17,5,44.9,3.0,224.5,0.1,202.05,Vale-presente,2026-09-23 16:55:35
CO000104,782.250.918-82,P0073,2025-08-25,5,44.9,3.3,224.5,0,224.5,Cartão de Crédito,2026-09-23 16:55:35
CO000105,410.586.988-77,P0009,2024-08-21,2,43.89,2.0,87.78,,79.0,Boleto,2026-09-23 16:55:35
CO000106,214.813.251-73,P0036,2025-12-10,2,149.93,4.4,299.86,0,299.86,Vale-presente,2026-09-23 16:55:35
CO000107,459.988.795-87,P0079,2024-01-03,3,59.88,3.7,179.64,0.05,170.66,Dinheiro,2026-09-23 16:55:35
CO000108,115.737.673-75,P0087,2025-03-18,1,164.89,4.4,164.89,0,164.89,Dinheiro,2026-09-23 16:55:35
CO000109,337.958.177-53,P0016,2025-06-13,5,32.89,2.9,164.45,0,164.45,PIX,2026-09-23 16:55:35
CO000110,820.748.101-90,P0029,2025-06-29,1,134.87,2.1,134.87,0.05,128.13,Dinheiro,2026-09-23 16:55:35
CO000111,435.695.102-21,P0001,2025-08-08,4,274.89,1.8,1099.56,0,1099.56,PIX,2026-09-23 16:55:35
CO000112,259.104.856-79,P0029,2024-07-20,4,134.87,4.8,539.48,0,539.48,Cartão de Crédito,2026-09-23 16:55:35
CO000113,530.474.659-97,P0040,2024-01-29,1,80.91,3.5,80.91,0,80.91,Dinheiro,2026-09-23 16:55:35
CO000114,955.494.806-71,P0004,2024-09-13,5,169.9,4.2,849.5,0,849.5,Cartão de Crédito,2026-09-23 16:55:35
CO000115,991.491.734-97,P0061,2024-02-25,2,67.43,4.8,134.86,0.2,107.89,Cartão de Débito,2026-09-23 16:55:35
CO000116,282.587.421-55,P0031,2025-03-25,1,65.89,4.1,65.89,0.1,59.3,PIX,2026-09-23 16:55:35
CO000117,604.927.284-88,P0058,2024-02-04,5,155.88,1.5,779.4,0,779.4,Dinheiro,2026-09-23 16:55:35
CO000118,160.383.987-93,produto_78,2025-03-28,1,121.37,4.1,121.37,0,121.37,PIX,2026-09-23 16:55:35
CO000119,701.216.456-55,P0079,2024-02-27,4,59.88,1.3,239.52,0.15,203.59,Boleto,2026-09-23 16:55:35
CO000120,349.251.771-98,P0038,2025-02-24,4,134.87,2.6,539.48,0.1,485.53,Cartão de Crédito,2026-09-23 16:55:35
CO000121,694.654.800-35,produto_73,20250420,5,359.88,1.0,1799.4,0.05,1709.43,Dinheiro,2026-09-23 16:55:35
CO000122,526.282.265-96,P0080,2024-01-27,1,249.9,2.4,249.9,0.15,212.41,Dinheiro,2026-09-23 16:55:35
CO000123,486.676.595-41,P0043,2024-01-13,5,69.9,1.8,349.5,0,349.5,Boleto,2026-09-23 16:55:35
CO000124,161.387.239-24,P0009,2025-08-09,5,43.89,4.2,219.45,0,219.45,Cartão de Crédito,2026-09-23 16:55:35
CO000125,310.841.137-68,P0066,2025-09-27,3,142.89,2.4,428.67,0.05,407.24,Dinheiro,2026-09-23 16:55:35
CO000126,143.844.990-55,p0032,2024-05-10,2,67.92,4.2,135.84,0,135.84,Cartão de Débito,2026-09-23 16:55:35
CO000127,767.685.300-81,P0056,2025-01-01,5,89.9,4.8,449.5,0.2,359.6,Cartão de Débito,2026-09-23 16:55:35
CO000128,368.187.508-74,P0070,2025-09-09,2,37.42,1.6,74.84,0,74.84,Cartão de Débito,2026-09-23 16:55:35
CO000129,870.439.915-65,P0048,2025-11-25,1,159.9,3.1,159.9,0.15,135.91,Cartão de Crédito,2026-09-23 16:55:35
CO000130,336.492.810-29,P0031,2024-02-25,5,65.89,4.3,329.45,0.1,296.5,Dinheiro,2026-09-23 16:55:35
CO000131,654.454.751-98,P0026,2024-03-11,2,269.87,3.6,539.74,0,539.74,Cartão de Débito,2026-09-23 16:55:35
CO000132,795.560.479-57,P0086,2025-09-06,4,98.89,3.8,395.56,0.05,375.78,Vale-presente,2026-09-23 16:55:35
CO000133,184.755.649-78,P0075,2024-11-02,5,29.88,4.9,149.4,0.1,134.46,Dinheiro,2026-09-23 16:55:35
CO000134,611.753.708-19,P0021,2024-02-13,1,79.9,2.8,79.9,0.2,63.92,Dinheiro,2026-09-23 16:55:35
CO000135,520.613.893-88,P0001,2025-09-30,2,274.89,3.8,549.78,0.05,522.29,Cartão de Crédito,2026-09-23 16:55:35
CO000136,214.163.948-80,P0062,2024-07-29,3,219.9,4.2,659.7,0.05,626.72,Dinheiro,2026-09-23 16:55:35
CO000137,844.534.180-65,P0001,2024-01-31,3,274.89,1.0,824.67,0,824.67,Boleto,2026-09-23 16:55:35
CO000138,905.652.997-56,P0019,2025-08-22,3,41.88,2.8,125.64,0.15,106.79,Cartão de Débito,2026-09-23 16:55:35
CO000139,218.998.367-32,P0004,2024-08-12,2,169.9,1.8,339.8,0,339.8,Cartão de Débito,2026-09-23 16:55:35
CO000140,344.763.192-12,P0023,2024-07-01,3,129.9,4.4,389.7,0,389.7,Cartão de Crédito,2026-09-23 16:55:35
CO000141,774.541.462-64,P0023,2025-11-24,3,129.9,4.6,389.7,0,389.7,Cartão de Crédito,2026-09-23 16:55:35
CO000142,685.662.960-72,P0084,2024-11-08,1,26.91,2.4,26.91,0,26.91,Dinheiro,2026-09-23 16:55:35
CO000143,552.219.796-36,P0048,2025-09-30,3,159.9,3.6,479.7,0.1,431.73,Dinheiro,2026-09-23 16:55:35
CO000144,596.155.546-28,P0009,2024-07-13,1,43.89,1.6,43.89,0,43.89,cartao,2026-09-23 16:55:35
CO000145,459.988.795-87,P0049,2025-10-13,3,254.91,2.3,764.73,0.05,726.49,Cartão de Crédito,2026-09-23 16:55:35
CO000146,738.421.779-25,P0098,2025-07-02,5,143.88,3.3,719.4,0.2,575.52,Cartão de Débito,2026-09-23 16:55:35
CO000147,349.546.703-61,P0042,2024-10-13,2,189.9,1.2,379.8,0.2,303.84,Cartão de Crédito,2026-09-23 16:55:35
CO000148,620.510.904-53,P0075,2025-04-26,4,29.88,1.8,119.52,0,119.52,Vale-presente,2026-09-23 16:55:35
CO000149,679.992.775-29,P0009,2025-10-22,2,43.89,3.0,87.78,0.2,70.22,Boleto,2026-09-23 16:55:35
CO000150,604.487.459-79,P0064,2025-12-30,5,119.9,2.9,599.5,0,599.5,Cartão de Débito,2026-09-23 16:55:35
CO000151,203.433.470-88,P0089,2025-04-30,4,121.37,3.9,485.48,0.05,461.21,Cartão de Débito,2026-09-23 16:55:35
CO000152,789.849.502-67,P0052,2024-08-12,5,54.89,3.6,274.45,0,274.45,Cartão de Crédito,2026-09-23 16:55:35
CO000153,810.752.430-24,P0031,2025-01-21,4,65.89,1.9,263.56,0.05,250.38,Boleto,2026-09-23 16:55:35
CO000154,163.561.205-53,P0048,2024-03-27,3,159.9,3.2,479.7,0,479.7,Cartão de Débito,2026-09-23 16:55:35
CO000155,300.292.223-60,P0067,2025-04-21,3,120.89,1.9,362.67,0,362.67,Boleto,2026-09-23 16:55:35
CO000156,195.886.406-51,P0044,2025-02-22,4,131.88,2.8,527.52,0.05,501.14,Cartão de Débito,2026-09-23 16:55:35
CO000157,370.271.841-97,P0041,2025-03-28,3,42.41,2.5,127.23,0,127.23,Cartão de Crédito,2026-09-23 16:55:35
CO000158,521.112.117-77,P0083,2024-10-28,1,143.91,2.4,143.91,0,143.91,Boleto,2026-09-23 16:55:35
CO000159,261.188.382-61,P0070,2024-04-10,1,37.42,4.1,37.42,0,37.42,PIX,2026-09-23 16:55:35
CO000160,784.488.444-13,P0047,2024-07-20,1,142.89,3.2,142.89,0,142.89,Vale-presente,2026-09-23 16:55:35
CO000161,530.474.659-97,P0033,2025-11-30,3,52.43,4.0,157.29,0.2,125.83,Cartão de Débito,2026-09-23 16:55:35
CO000162,220.368.893-43,P0091,2025-07-10,5,169.9,5.0,849.5,0.2,679.6,Cartão de Débito,2026-09-23 16:55:35
CO000163,924.423.510-44,P0099,2025-02-17,3,49.9,2.1,149.7,0,149.7,Dinheiro,2026-09-23 16:55:35
CO000164,456.936.544-63,P0097,2024-06-01,1,27.39,2.9,27.39,0.1,24.65,Dinheiro,2026-09-23 16:55:35
CO000165,428.392.761-17,P0030,2025-08-24,2,42.41,2.9,84.82,0.1,76.34,Boleto,2026-09-23 16:55:35
CO000166,527.571.178-24,p0060,2024-11-16,4,33.62,2.4,134.48,0,134.48,Cartão de Crédito,2026-09-23 16:55:35
CO000167,995.140.972-47,P0099,2025-07-25,4,49.9,1.8,199.6,0.05,189.62,PIX,2026-09-23 16:55:35
CO000168,604.487.459-79,P0018,2024-01-10,5,121.37,4.5,606.85,0,606.85,Dinheiro,2026-09-23 16:55:35
CO000169,545.658.316-94,P0046,2025-12-03,3,33.91,1.9,101.73,0.05,96.64,Dinheiro,2026-09-23 16:55:35
CO000170,129.192.249-45,P0100,2024-01-24,5,107.91,2.2,539.55,0.1,485.59,Boleto,2026-09-23 16:55:35
CO000171,736.676.202-19,P0018,2025-08-04,2,121.37,4.9,242.74,0,242.74,Vale-presente,2026-09-23 16:55:35
CO000172,467.181.804-71,P0078,2024-07-28,5,89.9,4.5,449.5,0.05,427.02,Dinheiro,2026-09-23 16:55:35
CO000173,329.765.170-93,P0069,2024-12-02,4,239.88,"1,8",959.52,0,959.52,Boleto,2026-09-23 16:55:35
CO000174,810.752.430-24,P0082,2025-11-22,3,89.93,1.4,269.79,0,269.79,Boleto,2026-09-23 16:55:35
CO000175,905.619.667-12,P0005,2024-07-22,5,79.9,3.0,399.5,0,399.5,PIX,2026-09-23 16:55:35
CO000176,614.684.629-83,P0037,2025-06-20,2,87.89,1.9,175.78,0.15,149.41,PIX,2026-09-23 16:55:35
CO000177,308.871.654-14,P0008,2024-11-30,3,37.42,3.1,112.26,0,112.26,Dinheiro,2026-09-23 16:55:35
CO000178,998.520.370-59,P0021,2025-05-04,1,79.9,1.5,79.9,0.05,75.91,Vale-presente,2026-09-23 16:55:35
CO000179,763.449.112-63,P0050,2024-11-13,2,26.17,1.5,52.34,0,52.34,Dinheiro,2026-09-23 16:55:35
CO000180,838.555.706-84,P0086,2024-11-13,4,98.89,1.6,395.56,0.1,356.0,Boleto,2026-09-23 16:55:35
CO000181,924.926.801-61,P0065,2024-05-26,4,82.43,2.1,329.72,0,329.72,Dinheiro,2026-09-23 16:55:35
CO000182,329.765.170-93,P0052,2024-12-02,5,54.89,4.2,274.45,0.1,247.0,Boleto,2026-09-23 16:55:35
CO000183,628.515.461-54,P0059,2024-04-03,4,219.9,3.3,879.6,0.15,747.66,Cartão de Débito,2026-09-23 16:55:35
CO000184,417.800.759-69,P0059,2024-10-31,3,219.9,3.8,659.7,0.15,560.75,Dinheiro,2026-09-23 16:55:35
CO000185,835.850.226-21,P0023,2025-03-18,4,129.9,2.0,519.6,0.1,467.64,Dinheiro,2026-09-23 16:55:35
CO000186,927.654.523-85,P0085,2025-02-06,2,359.88,3.8,719.76,0,719.76,Vale-presente,2026-09-23 16:55:35
CO000187,218.998.367-32,P0031,2025-07-04,2,65.89,2.1,131.78,0.15,112.01,Cartão de Débito,2026-09-23 16:55:35
CO000188,419.727.154-53,P0009,2025-07-20,2,43.89,4.6,87.78,0.05,83.39,PIX,2026-09-23 16:55:35
CO000189,430.239.261-65,P0010,2024-11-29,1,69.9,3.0,69.9,0.2,55.92,Dinheiro,2026-09-23 16:55:35
CO000190,305.314.739-47,P0022,2025-04-18,3,98.89,1.8,296.67,0,296.67,PIX,2026-09-23 16:55:35
CO000191,448.386.710-99,P0082,2025-02-12,4,89.93,2.5,359.72,0.15,305.76,Cartão de Crédito,2026-09-23 16:55:35
CO000192,682.129.277-34,P0005,2024-05-19 ,1,79.9,2.0,79.9,0.15,67.92,Cartão de Débito,2026-09-23 16:55:35
CO000193,971.902.384-42,P0096,2024-03-25,4,149.9,2.9,599.6,0,599.6,Boleto,2026-09-23 16:55:35
CO000194,972.401.163-57,P0032,2024-10-12,4,67.92,1.6,271.68,0.2,217.34,Cartão de Crédito,2026-09-23 16:55:35
CO000195,505.614.482-40,P0003,2024-05-07,5,26.17,1.4,130.85,0,130.85,Boleto,2026-09-23 16:55:35
CO000196,969.556.793-95,P0051,2024-01-12,2,49.9,1.3,99.8,0.2,79.84,Vale-presente,2026-09-23 16:55:35
CO000197,793.653.439-59,P0020,2024-02-05,4,37.42,2.4,149.68,0,149.68,Vale-presente,2026-09-23 16:55:35
CO000198,459.988.795-87,P0028,2025-10-12,4,110.42,3.8,441.68,0.2,353.34,Boleto,2026-09-23 16:55:35
CO000199,115.737.673-75,P0085,2025-03-30,1,359.88,2.6,359.88,0,359.88,desconhecido,2026-09-23 16:55:35
CO000200,686.256.536-49,P0001,2024-07-25,1,274.89,4.1,274.89,0.2,219.91,Cartão de Crédito,2026-09-23 16:55:35
CO000201,604.487.459-79,P0031,2024-01-29,2,65.89,1.4,131.78,0.05,125.19,PIX,2026-09-23 16:55:35
CO000202,979.680.270-57,P0025,2025-11-11,1,199.9,1.9,199.9,0,199.9,Cartão de Crédito,2026-09-23 16:55:35
CO000203,141.474.475-32,P0022,2024-11-30,1,98.89,2.7,98.89,0,98.89,Cartão de Débito,2026-09-23 16:55:35
CO000204,643.258.560-47,P0081,2025-02-08,2,98.89,3.5,197.78,0.1,178.0,Dinheiro,2026-09-23 16:55:35
CO000205,199.340.650-27,P0030,2024-06-26,2,42.41,1.4,84.82,0,84.82,PIX,2026-09-23 16:55:35
CO000206,985.899.885-97,P0084,2025-04-14,3,26.91,1.0,80.73,0,80.73,Cartão de Crédito,2026-09-23 16:55:35
CO000207,271.720.721-24,P0085,2024-02-14,3,359.88,3.6,1079.64,0,1079.64,PIX,2026-09-23 16:55:35
CO000208,817.212.295-12,P0053,2024-04-14,3,33.91,4.1,101.73,0.05,96.64,Vale-presente,2026-09-23 16:55:35
CO000209,865.701.633-67,P0073,2025-09-06,2,44.9,2.0,89.8,0,89.8,Cartão de Débito,2026-09-23 16:55:35
CO000210,842.794.423-81,P0090,2025-12-11,4,26.91,3.7,107.64,0.2,86.11,Cartão de Crédito,2026-09-23 16:55:35
CO000211,308.927.259-78,P0023,2025-05-08,3,129.9,4.9,389.7,0.15,331.25,PIX,2026-09-23 16:55:35
CO000212,270.480.229-44,P0003,2025-01-26,5,26.17,4.6,130.85,0.05,124.31,Boleto,2026-09-23 16:55:35
