ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total
C00046,026.542.351-14,P007,2025-01-20,3,139.9,4.1,419.7
C00047,475.255.341-44,P004,2025-08-24,1,169.9,4.5,169.9
C00048,475.255.341-44,P001,2025-12-04,1,59.9,3.7,59.9
C00049,395.376.724-09,P005,2025-02-05,4,229.9,4.6,919.6
C00050,532.871.012-69,P011,2025-10-02,1,249.9,5.0,249.9
C00051,104.332.181-00,P002,2025-05-14,1,79.9,4.5,79.9
C00052,026.542.351-14,P010,2025-08-11,1,99.9,4.1,99.9
C00053,395.376.724-09,P007,2025-11-07,5,139.9,5.0,699.5
C00054,310.341.316-56,P005,2025-01-23,2,229.9,5.0,459.8
C00055,104.332.181-00,P009,2025-10-03,2,119.9,4.7,239.8
C00056,310.341.316-56,P006,2025-08-09,1,189.9,4.5,189.9
C00057,395.376.724-09,P010,2025-06-10,2,99.9,4.9,199.8
C00058,489.325.288-70,P005,2025-12-08,1,229.9,5.0,229.9
C00059,532.871.012-69,P012,2025-06-01,2,299.9,4.7,599.8
C00060,532.871.012-69,P011,2025-03-31,2,249.9,5.0,499.8
C00061,350.305.641-60,P007,2025-10-08,3,139.9,4.3,419.7
C00062,039.117.182-84,P010,2025-12-02,1,99.9,4.5,99.9
C00063,480.184.514-27,P008,2025-12-12,1,219.9,3.3,219.9
C00064,816.184.959-50,P011,2025-02-13,1,249.9,4.8,249.9
C00065,278.248.963-15,P006,2025-02-17,3,189.9,4.8,569.7
C00066,475.255.341-44,P013,2025-04-12,1,49.9,3.2,49.9
C00067,960.013.389-14,P004,2025-09-01,2,169.9,4.2,339.8
C00068,039.117.182-84,P004,2025-12-23,1,169.9,3.6,169.9
C00069,532.871.012-69,P004,2025-03-17,2,169.9,4.8,339.8
C00070,026.542.351-14,P013,2025-08-06,1,49.9,3.9,49.9
C00071,489.325.288-70,P008,2025-01-26,2,219.9,4.5,439.8
C00072,161.559.407-89,P013,2025-08-26,2,49.9,3.8,99.8
C00073,095.701.543-73,P010,2025-06-12,4,99.9,4.7,399.6
C00074,489.325.288-70,P007,2025-10-08,1,139.9,4.0,139.9
C00075,816.184.959-50,P012,2025-09-01,2,299.9,4.5,599.8
C00076,928.327.648-51,P013,2025-09-24,2,49.9,3.0,99.8
C00077,475.255.341-44,P005,2025-08-14,1,229.9,4.6,229.9
C00078,395.376.724-09,P015,2025-10-04,1,89.9,4.4,89.9
C00079,161.559.407-89,P004,2025-07-16,2,169.9,4.1,339.8
C00080,269.166.978-57,P006,2025-10-05,2,189.9,4.6,379.8
C00081,960.013.389-14,P004,2025-08-04,1,169.9,4.2,169.9
C00082,104.332.181-00,P014,2025-10-22,1,129.9,3.2,129.9
C00083,104.332.181-00,P006,2025-06-02,3,189.9,5.0,569.7
C00084,269.166.978-57,P009,2025-10-07,3,119.9,3.1,359.7
C00085,475.255.341-44,P008,2025-04-23,1,219.9,3.9,219.9
C00086,532.871.012-69,P012,2025-03-26,3,299.9,4.5,899.7
C00087,161.559.407-89,P010,2025-10-01,1,99.9,3.7,99.9
C00088,104.332.181-00,P002,2025-11-26,1,79.9,4.6,79.9
C00089,480.184.514-27,P003,2025-01-26,1,149.9,4.4,149.9
C00090,395.376.724-09,P013,2025-07-14,1,49.9,4.3,49.9
C00091,269.166.978-57,P005,2025-02-11,2,229.9,4.7,459.8
C00092,238.849.696-92,P004,2025-11-29,1,169.9,4.0,169.9
C00093,960.013.389-14,P013,2025-01-16,4,49.9,3.9,199.6
C00094,161.559.407-89,P004,2025-03-06,2,169.9,4.2,339.8
C00095,026.542.351-14,P010,2025-04-22,2,99.9,4.2,199.8
C00096,278.248.963-15,P010,2025-02-28,3,99.9,4.6,299.7
C00097,816.184.959-50,P005,2025-02-25,2,229.9,5.0,459.8
C00098,532.871.012-69,P007,2025-04-12,1,139.9,4.1,139.9
C00099,475.255.341-44,P002,2025-12-23,3,79.9,4.6,239.7
C00100,026.542.351-14,P013,2025-10-17,3,49.9,3.4,149.7
C00101,238.849.696-92,P009,2025-08-08,2,119.9,4.6,239.8
C00102,104.332.181-00,P014,2025-08-04,3,129.9,4.6,389.7
C00103,026.542.351-14,P007,2025-07-05,2,139.9,4.7,279.8
C00104,269.166.978-57,P003,2025-09-25,4,149.9,4.0,599.6
C00105,928.327.648-51,P010,2025-10-03,3,99.9,3.4,299.7
C00106,039.117.182-84,P005,2025-06-15,3,229.9,4.9,689.7
C00107,083.863.794-99,P005,2025-08-19,1,229.9,4.1,229.9
C00108,532.871.012-69,P006,2025-01-15,2,189.9,4.9,379.8
C00109,395.376.724-09,P003,2025-09-07,1,149.9,4.7,149.9
C00110,278.248.963-15,P012,2025-05-22,2,299.9,4.1,599.8
C00111,489.325.288-70,P004,2025-02-13,1,169.9,3.6,169.9
C00112,475.255.341-44,P012,2025-09-01,2,299.9,4.8,599.8
C00113,627.048.281-05,P008,2025-01-09,1,219.9,4.4,219.9
C00114,350.305.641-60,P011,2025-10-25,1,249.9,5.0,249.9
C00115,095.701.543-73,P009,2025-06-26,1,119.9,4.0,119.9
C00116,480.184.514-27,P005,2025-06-06,1,229.9,4.3,229.9
C00117,026.542.351-14,P012,2025-04-09,1,299.9,4.5,299.9
C00118,816.184.959-50,P004,2025-04-21,2,169.9,3.0,339.8
C00119,928.327.648-51,P012,2025-10-29,5,299.9,4.1,1499.5
C00120,026.542.351-14,P014,2025-04-10,1,129.9,4.2,129.9
C00121,238.849.696-92,P003,2025-06-04,1,149.9,4.2,149.9
C00122,960.013.389-14,P009,2025-05-30,2,119.9,3.9,239.8
C00123,161.559.407-89,P011,2025-09-09,1,249.9,5.0,249.9
C00124,627.048.281-05,P008,2025-06-24,1,219.9,4.3,219.9
C00125,960.013.389-14,P005,2025-09-02,1,229.9,5.0,229.9
C00126,039.117.182-84,P011,2025-12-18,1,249.9,4.8,249.9
C00127,161.559.407-89,P013,2025-10-16,4,49.9,4.2,199.6
C00128,095.701.543-73,P013,2025-08-02,2,49.9,4.1,99.8
C00129,278.248.963-15,P004,2025-09-25,1,169.9,4.4,169.9
C00130,039.117.182-84,P007,2025-06-06,2,139.9,4.2,279.8
C00131,960.013.389-14,P010,2025-02-20,4,99.9,4.3,399.6
C00132,083.863.794-99,P003,2025-05-03,1,149.9,4.9,149.9
C00133,083.863.794-99,P003,2025-01-02,1,149.9,4.4,149.9
C00134,960.013.389-14,P004,2025-05-28,2,169.9,3.6,339.8
C00135,480.184.514-27,P002,2025-12-18,1,79.9,4.1,79.9
C00136,039.117.182-84,P011,2025-04-12,1,249.9,5.0,249.9
C00137,095.701.543-73,P004,2025-11-28,1,169.9,4.1,169.9
C00138,960.013.389-14,P003,2025-06-07,2,149.9,4.8,299.8
C00139,039.117.182-84,P015,2025-05-28,1,89.9,3.7,89.9
C00140,532.871.012-69,P005,2025-09-14,2,229.9,4.8,459.8
C00141,480.184.514-27,P002,2025-11-03,1,79.9,3.8,79.9
C00142,928.327.648-51,P001,2025-02-16,1,59.9,4.7,59.9
C00143,039.117.182-84,P010,2025-01-11,5,99.9,4.0,499.5
C00144,960.013.389-14,P013,2025-03-31,2,49.9,3.6,99.8
C00145,480.184.514-27,P015,2025-05-23,1,89.9,3.6,89.9
C00146,627.048.281-05,P002,2025-08-29,1,79.9,3.9,79.9
C00147,395.376.724-09,P006,2025-12-10,1,189.9,5.0,189.9
C00148,627.048.281-05,P005,2025-12-06,4,229.9,5.0,919.6
C00149,095.701.543-73,P001,2025-08-21,1,59.9,4.5,59.9
C00150,532.871.012-69,P014,2025-09-21,3,129.9,4.5,389.7
C00151,104.332.181-00,P011,2025-10-05,2,249.9,5.0,499.8
C00152,278.248.963-15,P013,2025-09-13,2,49.9,4.1,99.8
C00153,960.013.389-14,P004,2025-05-17,2,169.9,4.5,339.8
C00154,627.048.281-05,P002,2025-01-15,5,79.9,4.0,399.5
C00155,278.248.963-15,P013,2025-05-03,2,49.9,3.9,99.8
C00156,269.166.978-57,P002,2025-04-26,5,79.9,4.3,399.5
C00157,026.542.351-14,P008,2025-03-02,2,219.9,4.9,439.8
C00158,350.305.641-60,P009,2025-12-28,1,119.9,4.9,119.9
C00159,627.048.281-05,P008,2025-05-05,2,219.9,4.5,439.8
C00160,278.248.963-15,P009,2025-03-11,3,119.9,4.2,359.7
C00161,928.327.648-51,P013,2025-08-01,1,49.9,4.0,49.9
C00162,104.332.181-00,P005,2025-06-02,3,229.9,4.4,689.7
C00163,039.117.182-84,P011,2025-09-08,3,249.9,4.1,749.7
C00164,395.376.724-09,P009,2025-10-06,1,119.9,4.2,119.9
C00165,395.376.724-09,P014,2025-04-07,5,129.9,4.3,649.5
C00166,269.166.978-57,P001,2025-06-12,2,59.9,4.9,119.8
C00167,532.871.012-69,P007,2025-12-06,3,139.9,4.3,419.7
C00168,960.013.389-14,P003,2025-09-15,4,149.9,4.4,599.6
C00169,395.376.724-09,P014,2025-02-21,3,129.9,3.8,389.7
C00170,480.184.514-27,P001,2025-03-15,1,59.9,4.7,59.9
C00171,161.559.407-89,P002,2025-08-29,3,79.9,4.1,239.7
C00172,532.871.012-69,P011,2025-02-11,3,249.9,5.0,749.7
C00173,095.701.543-73,P007,2025-06-12,2,139.9,4.8,279.8
C00174,095.701.543-73,P001,2025-11-13,1,59.9,4.2,59.9
C00175,350.305.641-60,P004,2025-02-16,1,169.9,4.6,169.9
C00176,026.542.351-14,P008,2025-03-27,2,219.9,4.7,439.8
C00177,104.332.181-00,P001,2025-06-16,3,59.9,4.4,179.7
C00178,161.559.407-89,P004,2025-09-29,1,169.9,4.5,169.9
C00179,816.184.959-50,P003,2025-03-31,1,149.9,5.0,149.9
C00180,475.255.341-44,P008,2025-10-26,1,219.9,3.8,219.9
C00181,480.184.514-27,P011,2025-05-11,2,249.9,4.1,499.8
C00182,480.184.514-27,P015,2025-05-28,2,89.9,3.3,179.8
C00183,816.184.959-50,P002,2025-08-15,4,79.9,4.6,319.6
C00184,269.166.978-57,P012,2025-05-09,2,299.9,4.5,599.8
C00185,350.305.641-60,P004,2025-07-16,3,169.9,4.4,509.7
C00186,238.849.696-92,P010,2025-06-01,5,99.9,4.5,499.5
C00187,350.305.641-60,P001,2025-12-04,1,59.9,5.0,59.9
C00188,960.013.389-14,P015,2025-11-07,2,89.9,4.1,179.8
C00189,350.305.641-60,P013,2025-04-28,2,49.9,3.5,99.8
C00190,278.248.963-15,P005,2025-12-14,3,229.9,5.0,689.7
C00191,161.559.407-89,P011,2025-02-19,4,249.9,4.4,999.6
C00192,480.184.514-27,P001,2025-10-24,1,59.9,4.2,59.9
C00193,161.559.407-89,P002,2025-06-01,1,79.9,3.9,79.9
C00194,095.701.543-73,P015,2025-07-07,2,89.9,4.3,179.8
C00195,928.327.648-51,P014,2025-03-26,1,129.9,4.5,129.9
C00196,350.305.641-60,P012,2025-06-23,3,299.9,4.0,899.7
C00197,480.184.514-27,P002,2025-03-14,3,79.9,4.3,239.7
C00198,532.871.012-69,P014,2025-10-13,1,129.9,5.0,129.9
C00199,532.871.012-69,P001,2025-05-16,2,59.9,3.9,119.8
C00200,928.327.648-51,P010,2025-07-15,3,99.9,4.4,299.7
C00201,238.849.696-92,P002,2025-12-12,1,79.9,5.0,79.9
C00202,095.701.543-73,P006,2025-11-09,1,189.9,4.9,189.9
C00203,083.863.794-99,P011,2025-08-26,4,249.9,4.5,999.6
C00204,161.559.407-89,P001,2025-01-20,1,59.9,4.9,59.9
C00205,627.048.281-05,P002,2025-02-19,1,79.9,3.8,79.9
C00206,238.849.696-92,P011,2025-12-23,4,249.9,4.5,999.6
C00207,269.166.978-57,P010,2025-03-21,3,99.9,3.7,299.7
C00208,278.248.963-15,P007,2025-05-24,1,139.9,3.7,139.9
C00209,238.849.696-92,P004,2025-08-16,1,169.9,4.1,169.9
C00210,238.849.696-92,P009,2025-11-27,1,119.9,4.4,119.9
C00211,532.871.012-69,P005,2025-04-08,4,229.9,5.0,919.6
C00212,083.863.794-99,P011,2025-04-19,2,249.9,4.3,499.8
C00213,278.248.963-15,P001,2025-01-26,3,59.9,4.5,179.7
C00214,039.117.182-84,P004,2025-02-05,3,169.9,4.3,509.7
C00215,095.701.543-73,P004,2025-10-28,1,169.9,4.4,169.9
C00216,161.559.407-89,P013,2025-11-02,1,49.9,3.6,49.9
C00217,161.559.407-89,P003,2025-10-04,1,149.9,4.9,149.9
C00218,104.332.181-00,P003,2025-01-08,1,149.9,5.0,149.9
C00219,475.255.341-44,P010,2025-06-15,1,99.9,4.2,99.9
C00220,269.166.978-57,P009,2025-02-28,2,119.9,4.2,239.8
C00221,627.048.281-05,P008,2025-07-05,2,219.9,4.7,439.8
C00222,278.248.963-15,P001,2025-12-04,2,59.9,4.8,119.8
C00223,480.184.514-27,P011,2025-01-16,1,249.9,4.1,249.9
C00224,026.542.351-14,P008,2025-12-31,4,219.9,4.4,879.6
C00225,083.863.794-99,P015,2025-02-11,1,89.9,4.2,89.9
C00226,278.248.963-15,P011,2025-10-27,2,249.9,4.8,499.8
C00227,395.376.724-09,P007,2025-11-02,2,139.9,3.8,279.8
C00228,026.542.351-14,P013,2025-12-26,1,49.9,4.1,49.9
C00229,095.701.543-73,P012,2025-04-21,1,299.9,4.9,299.9
C00230,480.184.514-27,P007,2025-08-01,2,139.9,4.1,279.8
C00231,395.376.724-09,P007,2025-06-10,2,139.9,4.2,279.8
C00232,627.048.281-05,P002,2025-02-16,3,79.9,4.4,239.7
C00233,083.863.794-99,P007,2025-02-19,2,139.9,4.2,279.8
C00234,960.013.389-14,P010,2025-10-15,2,99.9,4.4,199.8
C00235,026.542.351-14,P007,2025-07-01,3,139.9,4.8,419.7
C00236,960.013.389-14,P005,2025-11-04,1,229.9,4.5,229.9
C00237,026.542.351-14,P010,2025-09-17,1,99.9,4.0,99.9
C00238,026.542.351-14,P006,2025-10-12,1,189.9,4.5,189.9
C00239,928.327.648-51,P010,2025-04-26,3,99.9,4.9,299.7
C00240,278.248.963-15,P010,2025-12-12,2,99.9,3.2,199.8
C00241,104.332.181-00,P010,2025-12-03,3,99.9,4.2,299.7
C00242,350.305.641-60,P015,2025-06-23,1,89.9,4.4,89.9
C00243,816.184.959-50,P014,2025-03-15,2,129.9,4.1,259.8
C00244,104.332.181-00,P002,2025-09-29,1,79.9,4.3,79.9
C00245,269.166.978-57,P008,2025-06-24,1,219.9,4.1,219.9
C00246,039.117.182-84,P010,2025-02-13,3,99.9,4.6,299.7
C00247,161.559.407-89,P003,2025-11-13,1,149.9,5.0,149.9
C00248,269.166.978-57,P008,2025-11-07,1,219.9,4.5,219.9
C00249,928.327.648-51,P004,2025-09-20,1,169.9,3.8,169.9
C00250,039.117.182-84,P008,2025-09-27,2,219.9,4.5,439.8
C00251,960.013.389-14,P004,2025-07-22,5,169.9,4.4,849.5
C00252,310.341.316-56,P013,2025-03-12,3,49.9,4.0,149.7
C00253,350.305.641-60,P006,2025-03-03,1,189.9,4.8,189.9
C00254,532.871.012-69,P009,2025-12-27,1,119.9,3.7,119.9
C00255,095.701.543-73,P014,2025-12-09,3,129.9,5.0,389.7
C00256,960.013.389-14,P007,2025-01-10,2,139.9,4.8,279.8
C00257,083.863.794-99,P014,2025-06-10,2,129.9,3.7,259.8
C00258,269.166.978-57,P005,2025-02-28,1,229.9,4.4,229.9
C00259,395.376.724-09,P003,2025-11-13,2,149.9,4.4,299.8
C00260,269.166.978-57,P014,2025-02-24,1,129.9,3.9,129.9
C00261,039.117.182-84,P007,2025-09-26,1,139.9,4.9,139.9
C00262,475.255.341-44,P006,2025-03-28,1,189.9,4.3,189.9
C00263,026.542.351-14,P009,2025-09-19,1,119.9,4.1,119.9
C00264,161.559.407-89,P004,2025-02-22,1,169.9,3.7,169.9
C00265,310.341.316-56,P003,2025-11-05,1,149.9,4.6,149.9
C00266,627.048.281-05,P008,2025-10-16,3,219.9,4.1,659.7
C00267,480.184.514-27,P011,2025-10-17,2,249.9,5.0,499.8
C00268,395.376.724-09,P003,2025-08-14,1,149.9,4.6,149.9
C00269,480.184.514-27,P011,2025-06-05,3,249.9,4.2,749.7
C00270,083.863.794-99,P005,2025-08-25,2,229.9,4.5,459.8
C00271,960.013.389-14,P006,2025-05-27,1,189.9,5.0,189.9
C00272,278.248.963-15,P010,2025-09-17,1,99.9,3.5,99.9
C00273,039.117.182-84,P009,2025-01-22,1,119.9,4.2,119.9
C00274,395.376.724-09,P010,2025-09-01,2,99.9,3.6,199.8
C00275,960.013.389-14,P008,2025-02-22,3,219.9,5.0,659.7
C00276,083.863.794-99,P009,2025-11-27,1,119.9,2.9,119.9
C00277,475.255.341-44,P012,2025-08-13,5,299.9,3.9,1499.5
C00278,238.849.696-92,P006,2025-05-25,1,189.9,4.7,189.9
C00279,395.376.724-09,P011,2025-11-03,1,249.9,4.3,249.9
C00280,395.376.724-09,P002,2025-10-13,2,79.9,3.9,159.8
C00281,350.305.641-60,P005,2025-12-03,4,229.9,4.5,919.6
C00282,083.863.794-99,P010,2025-12-06,1,99.9,4.0,99.9
C00283,238.849.696-92,P005,2025-12-02,2,229.9,4.2,459.8
C00284,083.863.794-99,P005,2025-10-14,1,229.9,5.0,229.9
C00285,395.376.724-09,P014,2025-03-07,2,129.9,4.7,259.8
C00286,489.325.288-70,P002,2025-11-27,2,79.9,3.6,159.8
C00287,489.325.288-70,P006,2025-01-10,1,189.9,4.9,189.9
C00288,627.048.281-05,P004,2025-04-26,5,169.9,4.4,849.5
C00289,161.559.407-89,P002,2025-06-01,3,79.9,4.8,239.7
C00290,489.325.288-70,P001,2025-12-05,1,59.9,5.0,59.9
C00291,278.248.963-15,P003,2025-11-02,1,149.9,5.0,149.9
C00292,278.248.963-15,P013,2025-03-26,2,49.9,4.6,99.8
C00293,960.013.389-14,P007,2025-07-06,2,139.9,4.4,279.8
C00294,350.305.641-60,P013,2025-08-18,1,49.9,4.4,49.9
C00295,475.255.341-44,P005,2025-08-29,4,229.9,4.9,919.6
C00296,039.117.182-84,P008,2025-08-25,3,219.9,4.9,659.7
C00297,532.871.012-69,P009,2025-09-28,1,119.9,4.2,119.9
C00298,278.248.963-15,P003,2025-05-09,1,149.9,4.9,149.9
C00299,627.048.281-05,P014,2025-07-10,2,129.9,5.0,259.8
C00300,026.542.351-14,P005,2025-02-12,3,229.9,5.0,689.7
C00301,928.327.648-51,P008,2025-09-20,1,219.9,3.3,219.9
C00302,475.255.341-44,P014,2025-08-19,3,129.9,4.7,389.7
C00303,104.332.181-00,P007,2025-01-28,1,139.9,4.1,139.9
C00304,083.863.794-99,P006,2025-04-25,1,189.9,5.0,189.9
C00305,026.542.351-14,P014,2025-11-29,1,129.9,4.4,129.9
C00306,627.048.281-05,P012,2025-03-13,3,299.9,4.6,899.7
C00307,627.048.281-05,P008,2025-11-12,1,219.9,4.6,219.9
C00308,161.559.407-89,P009,2025-11-08,2,119.9,4.2,239.8
C00309,026.542.351-14,P013,2025-05-28,1,49.9,4.1,49.9
C00310,278.248.963-15,P008,2025-02-02,1,219.9,4.5,219.9
C00311,627.048.281-05,P010,2025-10-02,1,99.9,3.9,99.9
C00312,161.559.407-89,P005,2025-08-08,1,229.9,4.7,229.9
C00313,238.849.696-92,P004,2025-10-20,1,169.9,4.0,169.9
C00314,238.849.696-92,P002,2025-09-27,2,79.9,4.0,159.8
C00315,489.325.288-70,P009,2025-01-11,1,119.9,3.4,119.9
C00316,238.849.696-92,P005,2025-01-09,1,229.9,4.8,229.9
C00317,083.863.794-99,P006,2025-05-04,2,189.9,4.3,379.8
C00318,395.376.724-09,P003,2025-01-23,1,149.9,4.0,149.9
C00319,395.376.724-09,P014,2025-11-26,1,129.9,4.4,129.9
C00320,627.048.281-05,P011,2025-04-04,3,249.9,4.1,749.7
C00321,083.863.794-99,P012,2025-08-23,1,299.9,4.7,299.9
C00322,960.013.389-14,P006,2025-06-08,2,189.9,5.0,379.8
C00323,095.701.543-73,P008,2025-05-10,1,219.9,4.1,219.9
C00324,960.013.389-14,P014,2025-12-02,1,129.9,4.0,129.9
C00325,026.542.351-14,P013,2025-07-08,1,49.9,3.5,49.9
C00326,532.871.012-69,P006,2025-04-06,2,189.9,5.0,379.8
C00327,627.048.281-05,P006,2025-09-23,1,189.9,5.0,189.9
C00328,269.166.978-57,P010,2025-04-03,2,99.9,4.4,199.8
C00329,395.376.724-09,P002,2025-02-10,1,79.9,4.1,79.9
C00330,269.166.978-57,P003,2025-12-20,1,149.9,5.0,149.9
C00331,480.184.514-27,P001,2025-06-30,2,59.9,3.9,119.8
C00332,960.013.389-14,P002,2025-12-10,2,79.9,4.5,159.8
C00333,238.849.696-92,P009,2025-12-14,1,119.9,4.9,119.9
C00334,480.184.514-27,P001,2025-03-06,1,59.9,4.7,59.9
C00335,238.849.696-92,P006,2025-07-16,4,189.9,5.0,759.6
C00336,480.184.514-27,P006,2025-07-10,1,189.9,4.9,189.9
C00337,083.863.794-99,P010,2025-03-12,2,99.9,3.7,199.8
C00338,475.255.341-44,P002,2025-01-14,2,79.9,4.6,159.8
C00339,627.048.281-05,P009,2025-07-18,4,119.9,4.6,479.6
C00340,480.184.514-27,P004,2025-11-10,1,169.9,4.6,169.9
C00341,627.048.281-05,P004,2025-03-04,1,169.9,4.3,169.9
C00342,480.184.514-27,P002,2025-12-16,4,79.9,4.3,319.6
C00343,395.376.724-09,P011,2025-06-27,2,249.9,4.2,499.8
C00344,350.305.641-60,P014,2025-03-22,2,129.9,4.2,259.8
C00345,816.184.959-50,P013,2025-07-05,2,49.9,4.1,99.8
C00346,161.559.407-89,P004,2025-09-10,1,169.9,4.3,169.9
C00347,095.701.543-73,P010,2025-07-08,2,99.9,4.4,199.8
C00348,083.863.794-99,P002,2025-06-08,1,79.9,4.2,79.9
C00349,627.048.281-05,P009,2025-07-30,3,119.9,4.1,359.7
C00350,395.376.724-09,P011,2025-02-07,1,249.9,4.4,249.9
C00351,489.325.288-70,P006,2025-03-07,3,189.9,4.9,569.7
C00352,816.184.959-50,P013,2025-03-08,1,49.9,3.3,49.9
C00353,960.013.389-14,P014,2025-03-05,2,129.9,4.2,259.8
C00354,475.255.341-44,P006,2025-09-23,3,189.9,5.0,569.7
C00355,083.863.794-99,P005,2025-04-11,2,229.9,4.5,459.8
C00356,350.305.641-60,P010,2025-10-01,1,99.9,4.1,99.9
C00357,816.184.959-50,P010,2025-10-25,1,99.9,3.8,99.9
C00358,278.248.963-15,P006,2025-10-16,1,189.9,4.2,189.9
C00359,104.332.181-00,P002,2025-01-24,4,79.9,4.2,319.6
C00360,310.341.316-56,P013,2025-10-20,1,49.9,3.6,49.9
C00361,104.332.181-00,P008,2025-11-18,2,219.9,4.1,439.8
C00362,475.255.341-44,P013,2025-12-17,1,49.9,3.6,49.9
C00363,480.184.514-27,P002,2025-12-19,1,79.9,3.7,79.9
C00364,310.341.316-56,P006,2025-11-07,1,189.9,5.0,189.9
C00365,395.376.724-09,P012,2025-06-26,5,299.9,4.8,1499.5
C00366,095.701.543-73,P002,2025-06-13,1,79.9,4.5,79.9
C00367,026.542.351-14,P005,2025-08-19,1,229.9,5.0,229.9
C00368,532.871.012-69,P014,2025-11-12,1,129.9,4.5,129.9
C00369,816.184.959-50,P014,2025-06-17,4,129.9,4.2,519.6
C00370,816.184.959-50,P008,2025-09-21,2,219.9,4.0,439.8
C00371,350.305.641-60,P008,2025-01-12,1,219.9,3.9,219.9
C00372,475.255.341-44,P004,2025-10-26,1,169.9,4.4,169.9
C00373,960.013.389-14,P005,2025-09-11,2,229.9,5.0,459.8
C00374,350.305.641-60,P009,2025-01-05,3,119.9,3.4,359.7
C00375,269.166.978-57,P003,2025-05-16,2,149.9,4.6,299.8
C00376,532.871.012-69,P001,2025-10-19,2,59.9,4.1,119.8
C00377,238.849.696-92,P009,2025-05-28,1,119.9,3.2,119.9
C00378,928.327.648-51,P014,2025-11-16,2,129.9,4.3,259.8
C00379,026.542.351-14,P003,2025-02-19,1,149.9,4.7,149.9
C00380,238.849.696-92,P013,2025-03-15,1,49.9,3.5,49.9
C00381,489.325.288-70,P007,2025-09-14,1,139.9,5.0,139.9
C00382,627.048.281-05,P009,2025-08-22,1,119.9,4.2,119.9
C00383,489.325.288-70,P003,2025-06-17,4,149.9,4.4,599.6
C00384,278.248.963-15,P012,2025-06-03,2,299.9,4.9,599.8
C00385,489.325.288-70,P014,2025-09-18,2,129.9,4.2,259.8
